segment,attack_seconds,ioi_ms
A,0.2877,333.7
A,0.6214,340.2
A,0.9616,333.6
A,1.2952,338.4
A,1.6336,334.3
A,1.9679,339.6
A,2.3075,334.7
A,2.6422,339.5
A,2.9817,334.1
A,3.3158,340.3
A,3.6561,333.4
A,3.9895,340.3
A,4.3298,340.7
A,4.6705,333.6
A,5.0041,339.5
A,5.3436,335.3
A,5.6789,339.0
A,6.0179,334.9
A,6.3528,338.4
A,6.6912,334.1
A,7.0253,339.7
A,7.365,333.9
A,7.6989,342.3
A,8.0412,334.7
A,8.3759,337.9
A,8.7138,335.2
A,9.049,339.1
A,9.3881,335.0
A,9.7231,340.1
A,10.0632,333.4
A,10.3966,340.6
A,10.7372,334.3
A,11.0715,340.4
A,11.4119,340.6
A,11.7525,333.3
A,12.0858,339.8
A,12.4256,335.0
A,12.7606,212.1
A,12.9727,1135.9
A,14.1086,212.5
A,14.3211,462.7
A,14.7838,336.6
A,15.1204,677.5
A,15.7979,544.8
A,16.3427,803.0
A,17.1457,333.8
A,17.4795,340.9
A,17.8204,333.6
A,18.154,552.2
A,18.7062,127.3
A,18.8335,210.2
A,19.0437,457.0
A,19.5007,340.4
A,19.8411,340.1
A,20.1812,210.8
A,20.392,463.8
A,20.8558,334.6
A,21.1904,338.5
A,21.5289,212.3
A,21.7412,797.2
A,22.5384,338.9
A,22.8773,211.2
A,23.0885,461.9
A,23.5504,211.0
A,23.7614,335.7
A,24.0971,127.6
A,24.2247,210.2
A,24.4349,1010.4
A,25.4453,125.1
A,25.5704,212.3
A,25.7827,124.1
A,25.9068,335.2
A,26.242,335.2
A,26.5772,340.6
A,26.9178,336.8
A,27.2546,339.2
A,27.5938,334.6
A,27.9284,337.2
A,28.2656,337.0
A,28.6026,338.8
A,28.9414,212.3
A,29.1537,1136.5
A,30.2902,339.9
A,30.6301,334.1
A,30.9642,339.5
A,31.3037,674.2
A,31.9779,334.6
A,32.3125,338.5
A,32.651,336.4
A,32.9874,551.2
A,33.5386,123.8
A,33.6624,209.7
A,33.8721,338.5
A,34.2106,463.8
A,34.6744,335.7
A,35.0101,337.2
A,35.3473,336.4
A,35.6837,337.3
A,36.021,336.0
A,36.357,336.8
A,36.6938,337.3
A,37.0311,337.7
A,37.3688,335.9
A,37.7047,216.5
A,37.9212,796.5
A,38.7177,334.3
A,39.052,339.2
A,39.3912,211.3
A,39.6025,464.0
A,40.0665,332.5
A,40.399,215.4
A,40.6144,1011.0
A,41.6254,127.1
A,41.7525,210.4
A,41.9629,124.3
A,42.0872,330.3
A,42.4175,340.0
A,42.7575,341.0
A,43.0985,335.9
A,43.4344,341.1
A,43.7755,336.1
A,44.1116,210.8
A,44.3224,340.9
A,44.6633,122.7
A,44.786,338.0
A,45.124,335.7
A,45.4597,216.2
A,45.6759,333.5
A,46.0094,464.6
A,46.474,333.4
A,46.8074,216.1
A,47.0235,333.7
A,47.3572,463.5
A,47.8207,212.7
A,48.0334,336.9
A,48.3703,457.8
A,48.8281,679.5
A,49.5076,673.3
A,50.1809,673.8
A,50.8547,336.1
A,51.1908,337.1
A,51.5279,335.5
A,51.8634,212.0
