segment,bin_lo_ms,bin_hi_ms,count
A,0.0,20.0,0
A,20.0,40.0,0
A,40.0,60.0,1
A,60.0,80.0,4
A,80.0,100.0,1
A,100.0,120.0,0
A,120.0,140.0,29
A,140.0,160.0,0
A,160.0,180.0,1
A,180.0,200.0,0
A,200.0,220.0,86
A,220.0,240.0,0
A,240.0,260.0,0
A,260.0,280.0,0
A,280.0,300.0,0
A,300.0,320.0,0
A,320.0,340.0,224
A,340.0,360.0,36
A,360.0,380.0,2
A,380.0,400.0,2
A,400.0,420.0,1
A,420.0,440.0,0
A,440.0,460.0,3
A,460.0,480.0,38
A,480.0,500.0,0
A,500.0,520.0,0
A,520.0,540.0,0
A,540.0,560.0,8
A,560.0,580.0,0
A,580.0,600.0,0
A,600.0,620.0,1
A,620.0,640.0,0
A,640.0,660.0,0
A,660.0,680.0,40
A,680.0,700.0,0
A,700.0,720.0,2
A,720.0,740.0,0
A,740.0,760.0,2
A,760.0,780.0,0
A,780.0,800.0,18
A,800.0,820.0,5
A,820.0,840.0,0
A,840.0,860.0,0
A,860.0,880.0,0
A,880.0,900.0,0
A,900.0,920.0,0
A,920.0,940.0,0
A,940.0,960.0,0
A,960.0,980.0,0
A,980.0,1000.0,0
A,1000.0,1020.0,10
A,1020.0,1040.0,0
A,1040.0,1060.0,0
A,1060.0,1080.0,0
A,1080.0,1100.0,0
A,1100.0,1120.0,0
A,1120.0,1140.0,4
A,1140.0,1160.0,0
A,1160.0,1180.0,0
A,1180.0,1200.0,0
B,0.0,20.0,0
B,20.0,40.0,0
B,40.0,60.0,3
B,60.0,80.0,19
B,80.0,100.0,0
B,100.0,120.0,45
B,120.0,140.0,27
B,140.0,160.0,12
B,160.0,180.0,0
B,180.0,200.0,1
B,200.0,220.0,3
B,220.0,240.0,23
B,240.0,260.0,3
B,260.0,280.0,0
B,280.0,300.0,3
B,300.0,320.0,0
B,320.0,340.0,0
B,340.0,360.0,0
B,360.0,380.0,0
B,380.0,400.0,2
B,400.0,420.0,0
B,420.0,440.0,0
B,440.0,460.0,0
B,460.0,480.0,5
B,480.0,500.0,1
B,500.0,520.0,0
B,520.0,540.0,0
B,540.0,560.0,0
B,560.0,580.0,0
B,580.0,600.0,1
B,600.0,620.0,2
B,620.0,640.0,0
B,640.0,660.0,1
B,660.0,680.0,0
B,680.0,700.0,0
B,700.0,720.0,1
B,720.0,740.0,1
B,740.0,760.0,12
B,760.0,780.0,1
B,780.0,800.0,1
B,800.0,820.0,1
B,820.0,840.0,1
B,840.0,860.0,0
B,860.0,880.0,0
B,880.0,900.0,1
B,900.0,920.0,0
B,920.0,940.0,5
B,940.0,960.0,0
B,960.0,980.0,0
B,980.0,1000.0,2
B,1000.0,1020.0,2
B,1020.0,1040.0,0
B,1040.0,1060.0,0
B,1060.0,1080.0,0
B,1080.0,1100.0,0
B,1100.0,1120.0,0
B,1120.0,1140.0,0
B,1140.0,1160.0,0
B,1160.0,1180.0,0
B,1180.0,1200.0,0
