segment,peak_ms,median_ms,count,share_pct,basin_ms,x_dominant,x_beat,nearest_printable,figure,error_pct
A,125.0,124.6,29,5.5,90-166,0.37,0.372,0.375,semicorchea con puntillo,0.8
A,212.0,211.3,87,16.5,166-273,0.627,0.631,0.6667,corchea de tresillo (larga),5.4
A,337.0,337.2,265,50.2,273-423,1.0,1.007,1.0,negra,0.7
A,463.0,463.0,41,7.8,423-509,1.373,1.382,1.3333,negra de tresillo (larga),3.7
A,674.0,674.2,42,8.0,633-728,1.999,2.013,2.0,blanca,0.6
A,799.0,798.8,23,4.4,764-910,2.369,2.384,2.0,blanca,19.2
B,66.0,67.1,22,11.6,0-82,0.581,0.096,0.125,fusa,23.1
B,113.0,115.4,84,44.4,82-181,1.0,0.166,0.1667,semicorchea de tresillo,0.7
B,234.0,233.4,30,15.9,181-269,2.021,0.335,0.3333,corchea de tresillo,0.4
B,474.0,473.6,6,3.2,432-539,4.102,0.679,0.6667,corchea de tresillo (larga),1.8
B,751.0,751.3,16,8.5,710-821,6.507,1.077,1.0,negra,7.7
B,936.0,935.8,5,2.6,903-969,8.106,1.342,1.3333,negra de tresillo (larga),0.6
B,1000.0,1000.1,4,2.1,969-1200,8.663,1.434,1.5,negra con puntillo,4.4
