window_centre_s,fitted_unit_ms,fit_score,intervals_in_window
6.29,170.5,0.9605,35
7.29,170.5,0.9367,35
8.29,170.0,0.9152,33
9.29,113.5,0.8988,33
10.29,113.5,0.8965,31
11.29,113.5,0.8618,30
12.29,113.5,0.8583,30
13.29,113.5,0.8043,30
14.29,113.5,0.8128,30
15.29,113.5,0.7815,30
16.29,113.5,0.7638,29
17.29,113.5,0.7459,29
18.29,114.0,0.6945,30
19.29,114.0,0.6781,28
20.29,113.5,0.6913,32
21.29,113.5,0.6976,32
22.29,113.5,0.7357,34
23.29,113.0,0.7544,35
24.29,113.5,0.7362,32
25.29,113.5,0.7695,32
26.29,113.5,0.7773,31
27.29,113.5,0.7853,31
28.29,113.0,0.7906,33
29.29,113.0,0.7976,32
30.29,113.0,0.8481,31
31.29,113.0,0.8601,33
32.29,113.0,0.8868,31
33.29,113.5,0.8559,30
34.29,113.5,0.8315,30
35.29,113.0,0.8479,29
36.29,113.0,0.8154,33
37.29,113.0,0.8099,33
38.29,113.0,0.8167,34
39.29,113.5,0.7931,35
40.29,113.0,0.8343,34
41.29,113.0,0.815,35
42.29,113.0,0.7882,35
43.29,113.5,0.7618,34
44.29,113.0,0.783,33
45.29,113.0,0.7825,33
46.29,113.0,0.7994,33
47.29,113.5,0.79,33
48.29,113.5,0.8285,31
49.29,113.0,0.8327,31
50.29,113.0,0.8302,32
51.29,113.0,0.8045,31
52.29,113.0,0.8123,31
53.29,113.5,0.7724,31
54.29,113.5,0.7788,29
55.29,113.0,0.796,29
56.29,113.0,0.7974,29
57.29,113.0,0.7831,30
58.29,113.0,0.7993,29
59.29,113.0,0.794,29
60.29,113.0,0.8027,30
61.29,113.0,0.8173,31
62.29,113.0,0.7733,32
63.29,113.0,0.7457,30
64.29,113.0,0.7693,29
65.29,113.0,0.8024,29
66.29,113.0,0.7816,31
67.29,113.0,0.6889,34
68.29,113.0,0.6444,35
69.29,112.5,0.6431,34
70.29,112.5,0.6176,35
71.29,112.5,0.5939,37
72.29,113.0,0.5706,37
73.29,113.0,0.5474,36
74.29,113.0,0.6224,34
75.29,113.0,0.6443,36
76.29,113.0,0.6259,34
77.29,113.0,0.5831,36
78.29,113.0,0.6271,35
79.29,113.0,0.7038,34
80.29,113.0,0.6926,33
81.29,113.0,0.7527,34
82.29,113.0,0.7728,33
83.29,112.5,0.7975,31
84.29,112.5,0.8292,30
85.29,112.5,0.8044,30
86.29,112.5,0.7693,30
87.29,113.0,0.7267,31
88.29,113.0,0.731,33
89.29,113.0,0.7558,30
90.29,113.0,0.7377,31
91.29,113.0,0.7539,31
92.29,113.5,0.7495,30
93.29,113.5,0.7051,31
94.29,113.5,0.7221,32
95.29,113.5,0.7327,33
96.29,113.5,0.7456,35
97.29,113.5,0.7467,35
98.29,113.5,0.7554,35
99.29,113.5,0.7368,34
100.29,113.5,0.7357,34
101.29,113.0,0.7606,33
102.29,113.0,0.7838,33
103.29,113.0,0.7736,31
104.29,113.5,0.7791,33
105.29,113.5,0.7961,30
106.29,113.0,0.8081,29
107.29,113.0,0.8003,28
108.29,113.0,0.7961,27
109.29,113.5,0.7775,27
110.29,113.5,0.7773,26
111.29,113.5,0.7782,26
112.29,113.5,0.7847,27
113.29,113.5,0.7977,28
114.29,113.5,0.7693,27
115.29,113.5,0.7724,28
116.29,114.0,0.7427,26
117.29,113.5,0.7691,27
118.29,114.0,0.7313,27
119.29,114.0,0.7405,28
120.29,114.0,0.7491,29
121.29,114.0,0.7626,27
122.29,114.0,0.751,28
123.29,114.0,0.7531,28
124.29,114.0,0.7478,28
125.29,114.0,0.762,28
126.29,114.0,0.7458,28
127.29,114.0,0.731,27
128.29,114.0,0.7317,29
129.29,114.0,0.7366,30
130.29,114.0,0.7548,30
131.29,114.0,0.756,28
132.29,114.0,0.7503,24
133.29,114.0,0.7099,24
134.29,113.5,0.7351,23
135.29,113.5,0.7501,21
136.29,113.0,0.7861,20
137.29,113.0,0.7597,19
138.29,112.5,0.8045,17
139.29,169.5,0.7984,17
140.29,169.5,0.8981,15
141.29,169.0,0.9027,13
142.29,169.0,0.8862,11
143.29,169.0,0.9748,11
144.29,169.0,0.9744,12
145.29,169.0,0.9761,14
146.29,169.0,0.9141,15
147.29,169.0,0.8212,18
148.29,168.5,0.8136,16
149.29,112.5,0.8828,18
150.29,112.5,0.8942,20
151.29,112.5,0.8594,19
152.29,113.0,0.8337,22
153.29,113.0,0.8283,24
154.29,113.0,0.8292,27
155.29,113.5,0.8292,28
156.29,113.5,0.8118,30
157.29,113.5,0.8088,29
158.29,113.5,0.8041,29
159.29,113.5,0.819,28
160.29,113.5,0.812,31
161.29,113.5,0.805,31
162.29,114.0,0.8165,32
163.29,113.5,0.8256,34
164.29,113.5,0.8236,33
165.29,113.5,0.81,33
166.29,114.0,0.7801,33
167.29,114.0,0.7808,33
168.29,113.5,0.7985,32
169.29,113.5,0.8117,32
170.29,113.5,0.7995,32
171.29,113.5,0.7867,31
172.29,113.0,0.8217,30
173.29,113.0,0.8104,28
174.29,113.0,0.7988,28
175.29,113.5,0.7714,26
176.29,113.5,0.772,26
177.29,113.5,0.7698,26
178.29,113.5,0.7803,26
179.29,113.5,0.791,26
180.29,113.5,0.7819,26
181.29,113.5,0.7723,27
182.29,113.5,0.7812,28
183.29,113.5,0.7708,26
184.29,114.0,0.7662,26
185.29,114.0,0.7357,28
186.29,113.5,0.7616,27
187.29,113.5,0.7611,27
188.29,113.5,0.7531,28
189.29,113.0,0.7893,27
190.29,113.0,0.8072,26
191.29,113.0,0.7971,28
192.29,113.0,0.8098,26
193.29,112.5,0.8501,24
194.29,112.5,0.8223,21
195.29,112.5,0.8273,22
196.29,112.5,0.8029,24
197.29,112.5,0.8359,23
198.29,112.5,0.8297,22
199.29,112.5,0.8059,24
200.29,112.5,0.8303,22
201.29,112.5,0.8061,24
202.29,113.0,0.7909,24
203.29,113.0,0.738,21
204.29,113.0,0.6487,24
205.29,113.0,0.6487,24
206.29,113.0,0.5876,25
207.29,113.0,0.5626,26
208.29,113.0,0.5237,23
209.29,113.0,0.4845,21
210.29,113.0,0.4883,20
211.29,112.5,0.4307,17
212.29,125.5,0.3829,16
213.29,125.5,0.4083,16
214.29,118.0,0.508,18
215.29,118.5,0.5855,22
216.29,118.0,0.7078,22
217.29,118.0,0.7795,25
218.29,118.0,0.8648,27
219.29,118.0,0.9284,26
220.29,118.0,0.9608,27
221.29,118.0,0.9622,29
222.29,118.0,0.9622,29
223.29,118.0,0.9301,30
224.29,118.0,0.9235,30
225.29,118.0,0.9163,26
226.29,117.5,0.8866,23
227.29,117.5,0.8681,19
228.29,117.5,0.858,18
229.29,117.5,0.8201,14
230.29,156.5,0.7134,11
231.29,156.5,0.7127,11
236.29,118.0,0.743,14
237.29,118.5,0.7895,22
238.29,121.0,0.7959,29
239.29,126.5,0.7404,35
240.29,128.0,0.7266,37
241.29,127.5,0.7318,38
242.29,126.5,0.7625,39
243.29,126.5,0.787,39
244.29,126.5,0.7841,40
245.29,126.0,0.7975,42
246.29,126.0,0.8209,42
247.29,126.0,0.8504,41
248.29,126.0,0.8438,37
249.29,126.0,0.8095,30
250.29,126.0,0.7033,24
251.29,189.5,0.7568,18
252.29,189.5,0.7225,16
253.29,150.5,0.6588,21
254.29,107.5,0.6003,28
255.29,108.0,0.6746,36
256.29,108.5,0.6445,42
257.29,109.5,0.6412,48
258.29,110.0,0.6888,56
259.29,110.5,0.7094,62
260.29,110.5,0.6607,65
261.29,109.5,0.6432,68
262.29,109.5,0.6248,70
263.29,110.0,0.5895,75
264.29,109.5,0.5484,80
265.29,109.5,0.5384,78
266.29,109.0,0.4638,73
267.29,109.0,0.3931,64
268.29,109.0,0.3892,57
269.29,109.0,0.3171,49
270.29,149.5,0.2164,40
271.29,150.0,0.2397,33
272.29,81.0,0.2617,28
273.29,81.0,0.276,24
274.29,81.0,0.2996,20
275.29,80.5,0.2946,15
