boundary_s,joint_fit
180.0,0.67939
181.0,0.67849
182.0,0.67851
183.0,0.67904
184.0,0.67847
185.0,0.67846
186.0,0.67894
187.0,0.67911
188.0,0.67854
189.0,0.67902
190.0,0.67849
191.0,0.67911
192.0,0.6785
193.0,0.67854
194.0,0.67847
195.0,0.6802
196.0,0.68227
197.0,0.68397
198.0,0.68537
199.0,0.68676
200.0,0.68676
201.0,0.68761
202.0,0.68834
203.0,0.69044
204.0,0.69182
205.0,0.69368
206.0,0.69587
207.0,0.6975
208.0,0.69794
209.0,0.69656
210.0,0.69625
211.0,0.69626
212.0,0.69626
213.0,0.69613
214.0,0.69716
215.0,0.69802
216.0,0.69802
217.0,0.69802
218.0,0.69802
219.0,0.69584
220.0,0.69437
221.0,0.69293
222.0,0.69101
223.0,0.68919
224.0,0.68824
225.0,0.68938
226.0,0.68924
227.0,0.69022
228.0,0.69022
229.0,0.69022
230.0,0.69023
231.0,0.69023
232.0,0.69023
233.0,0.69023
234.0,0.69019
235.0,0.69065
236.0,0.69065
237.0,0.69065
238.0,0.69065
239.0,0.69065
240.0,0.69065
241.0,0.69036
242.0,0.68893
243.0,0.69251
244.0,0.69619
245.0,0.69848
246.0,0.69756
247.0,0.69635
248.0,0.69495
249.0,0.69235
250.0,0.6911
251.0,0.68984
252.0,0.68847
253.0,0.68827
254.0,0.68796
