picture                  kept rejected top  W(left) W(mid) W(right)  lean(l) lean(m) lean(r)  taper
7years                     43        7  16   24.90  24.42  24.92     0.03  -0.05  -0.08  1.000
airplanes                  40        9  15   25.81  24.04  24.24     0.42   0.26   0.15  1.000
derulo                     51        0  14   24.77  24.80  24.77     0.00   0.00   0.00  1.000
feather                    31        9  18   24.98  24.33  25.00     0.07   0.00  -0.15  0.999
more-examples-1            21       20  12   24.31  24.45  25.17    -0.22   0.06  -0.01  1.000
more-examples-10           30       16  14   25.14  24.50  25.51    -0.10   0.11   0.37  0.999
more-examples-11           43        6  13   25.46  24.38  25.23     0.07  -0.01  -0.16  0.998
more-examples-12           36       11  14   25.65  24.32  25.31    -0.03   0.15   0.19  1.000
more-examples-13           43       19  17   25.12  23.97  24.97     0.09   0.03   0.04  0.998
more-examples-14           41       16  15   24.66  24.30  25.03     0.39   0.07   0.00  1.000
more-examples-2            24       22  13   50.70  24.48  25.08    -0.14   0.11   0.03  1.001
more-examples-3            35       19  15   24.88  24.37  24.56    -0.05   0.06   0.06  1.000
more-examples-4            41       15  15   25.26  24.72  25.19    -0.12   0.17   0.16  1.000
more-examples-5            35       18  14   24.91  24.19  50.80    -0.07   0.06   0.09  1.000
more-examples-6            43       15  17   24.87  24.32  25.00    -0.03   0.02   0.14  1.002
more-examples-7            41       14  12   25.14  23.63  25.25    -0.02   0.05   0.11  0.999
more-examples-8            45       13  16   24.86  23.99  24.92    -0.07   0.07   0.23  1.000
more-examples-9            39       14  14   25.58  24.46  25.25     0.01   0.06  -0.05  0.998
not-immediate-strokes      42       15  16   25.53  23.94  25.21    -0.00   0.05   0.10  0.998
ode1                       35       19  14   24.68  24.43  24.25     0.01   0.05  -0.02  0.999
ode2                       34       25  16   24.78  24.37  24.79    -0.05   0.07   0.04  0.999
ode3                       34       21  15   24.76  24.31  24.90    -0.04   0.07   0.09  0.999
shut-up-and-dance          32        0  11   38.73  38.78  38.71     0.00   0.00   0.00  1.000
superestrella              42        0  12   30.60  30.63  30.63    -0.01  -0.00   0.00  1.000

families: offset of each black key from the nearest white key border at the top edge, in local white key widths
picture                    C#      D#      F#      G#      A#    (n)
7years                    -0.117   0.105  -0.143  -0.002   0.149   (21)
airplanes                 -0.046   0.131  -0.119   0.010   0.170   (28)
derulo                     0.014   0.018   0.014   0.014   0.010   (34)
feather                   -0.102   0.116  -0.185  -0.017   0.142   (18)
more-examples-1           -0.083   0.124  -0.128   0.008   0.142   (13)
more-examples-10          -0.113   0.109  -0.109   0.036   0.146   (22)
more-examples-11          -0.114   0.082  -0.122   0.013   0.109   (29)
more-examples-12          -0.066   0.119  -0.114   0.013   0.151   (24)
more-examples-13          -0.087   0.088  -0.148   0.016   0.129   (30)
more-examples-14          -0.086   0.100  -0.120   0.042   0.140   (29)
more-examples-2           -0.085   0.117  -0.136   0.007   0.128   (16)
more-examples-3           -0.103   0.090  -0.130  -0.008   0.129   (23)
more-examples-4           -0.080   0.113  -0.105   0.015   0.150   (29)
more-examples-5           -0.101   0.077  -0.143  -0.004   0.134   (26)
more-examples-6           -0.095   0.090  -0.155  -0.005   0.125   (30)
more-examples-7           -0.059   0.070  -0.131   0.034   0.139   (28)
more-examples-8           -0.074   0.090  -0.112   0.009   0.111   (31)
more-examples-9           -0.101   0.114  -0.101   0.011   0.145   (28)
not-immediate-strokes     -0.103   0.130  -0.139   0.039   0.148   (30)
ode1                      -0.107   0.075  -0.136  -0.006   0.117   (24)
ode2                      -0.102   0.078  -0.141   0.003   0.119   (23)
ode3                      -0.096   0.072  -0.137   0.003   0.090   (23)
shut-up-and-dance         -0.073   0.082  -0.130  -0.002   0.143   (23)
superestrella             -0.065   0.116  -0.129   0.015   0.141   (29)
